Index,zip,yelp_dollar_1,yelp_dollar_2,yelp_dollar_3,yelp_dollar_4,Total_Business,STATE,income_level_1,income_level_2,income_level_3,income_level_4,income_level_5,income_level_6,target
235,44136,37,47,12,1,97,OH,3930.0,2710.0,2130.0,1640.0,2410.0,650.0,3
236,44137,5,9,0,0,14,OH,5270.0,3730.0,1450.0,560.0,350.0,0.0,2
237,44138,9,14,2,0,25,OH,3540.0,2670.0,1950.0,1410.0,1940.0,380.0,2
238,44139,28,34,10,2,74,OH,3410.0,1870.0,1540.0,1250.0,2580.0,1680.0,3
239,44140,3,3,1,0,7,OH,1940.0,1120.0,1240.0,960.0,1870.0,880.0,3
240,44141,8,10,2,0,20,OH,1830.0,1010.0,960.0,850.0,1740.0,910.0,3
241,44142,7,11,5,0,23,OH,3920.0,3190.0,1740.0,900.0,640.0,30.0,2
242,44143,12,35,5,0,52,OH,4140.0,2830.0,2020.0,1360.0,2110.0,800.0,2
243,44144,16,34,2,1,53,OH,4430.0,3800.0,1770.0,800.0,500.0,50.0,2
244,44145,49,98,13,4,164,OH,4930.0,3140.0,2710.0,1870.0,3040.0,2010.0,3
245,44146,16,18,3,0,37,OH,6070.0,5150.0,2350.0,1070.0,800.0,80.0,2
246,44147,14,20,2,2,38,OH,2960.0,2190.0,1590.0,1190.0,1980.0,790.0,3
247,44149,12,13,2,0,27,OH,2860.0,1830.0,1610.0,1320.0,2210.0,780.0,3
248,44202,12,34,4,1,51,OH,2960.0,1800.0,1550.0,1190.0,2370.0,1010.0,3
249,44212,22,29,8,2,61,OH,7390.0,5670.0,4100.0,2820.0,3370.0,390.0,2
250,44221,21,46,6,4,77,OH,5340.0,5290.0,2790.0,1270.0,890.0,70.0,2
251,44223,12,24,5,3,44,OH,2920.0,2310.0,1690.0,1090.0,1260.0,360.0,2
252,44224,21,44,7,1,73,OH,6130.0,4560.0,3260.0,2250.0,3230.0,700.0,2
253,44233,0,3,0,0,3,OH,1180.0,650.0,580.0,440.0,870.0,480.0,3
254,44234,1,0,1,0,2,OH,550.0,440.0,300.0,190.0,230.0,60.0,2
255,44236,27,56,10,0,93,OH,3200.0,1320.0,1310.0,1170.0,3190.0,2340.0,4
256,44240,33,74,13,5,125,OH,6370.0,3730.0,2250.0,1480.0,1830.0,340.0,2
257,44241,16,32,6,1,55,OH,3010.0,2560.0,1540.0,900.0,1020.0,130.0,2
258,44253,1,1,0,0,2,OH,550.0,460.0,290.0,240.0,270.0,40.0,2
259,44255,2,1,1,0,4,OH,1330.0,1100.0,650.0,420.0,420.0,70.0,2
260,44256,32,81,12,3,128,OH,9650.0,6280.0,4740.0,3670.0,5980.0,1940.0,3
261,44260,0,1,0,0,1,OH,2310.0,1790.0,1190.0,770.0,720.0,130.0,2
262,44262,3,4,0,0,7,OH,770.0,630.0,460.0,320.0,420.0,70.0,2
263,44264,7,6,1,0,14,OH,400.0,300.0,230.0,170.0,270.0,120.0,3
264,44278,6,16,0,0,22,OH,3010.0,2210.0,1610.0,1130.0,1230.0,250.0,2
265,44280,1,3,1,0,5,OH,770.0,620.0,440.0,420.0,540.0,110.0,3
266,44281,1,0,0,0,1,OH,4570.0,3500.0,2490.0,1710.0,2480.0,720.0,2
267,44286,6,15,1,0,22,OH,920.0,580.0,430.0,360.0,550.0,500.0,3
268,44320,1,2,0,0,3,OH,4440.0,2620.0,980.0,440.0,340.0,50.0,1
269,44321,2,4,1,1,8,OH,1910.0,1420.0,1130.0,920.0,1590.0,700.0,3
270,44333,30,38,6,3,77,OH,2510.0,1470.0,1290.0,1050.0,1950.0,1340.0,3
271,44428,1,1,0,0,2,OH,630.0,420.0,230.0,120.0,110.0,0.0,2
272,45069,0,1,0,0,1,OH,7110.0,4810.0,3530.0,2920.0,5480.0,2000.0,3
273,45612,1,2,0,0,3,OH,830.0,560.0,300.0,130.0,110.0,0.0,2
274,46501,0,1,0,0,1,IN,660.0,490.0,250.0,160.0,130.0,0.0,2
275,46773,1,1,0,0,2,IN,610.0,440.0,300.0,230.0,170.0,30.0,2
276,47250,23,18,4,1,46,IN,4020.0,2550.0,1420.0,930.0,980.0,210.0,2
277,53207,1,0,0,0,1,WI,5700.0,5540.0,3410.0,1970.0,2020.0,230.0,2
278,53508,4,3,0,1,8,WI,660.0,610.0,460.0,360.0,510.0,80.0,3
279,53515,0,3,0,0,3,WI,330.0,270.0,220.0,170.0,210.0,60.0,3
280,53521,1,1,1,0,3,WI,500.0,380.0,270.0,240.0,390.0,80.0,3
281,53527,2,7,3,0,12,WI,1370.0,930.0,760.0,630.0,1300.0,270.0,3
282,53528,6,8,0,0,14,WI,800.0,650.0,450.0,390.0,660.0,190.0,3
283,53529,0,2,1,0,3,WI,270.0,260.0,140.0,130.0,210.0,50.0,2
284,53532,6,6,3,1,16,WI,1910.0,1540.0,1050.0,1010.0,1570.0,260.0,3
285,53558,8,11,0,0,19,WI,1530.0,1110.0,860.0,790.0,1450.0,330.0,3
286,53562,43,79,12,5,139,WI,3520.0,2960.0,2030.0,1460.0,2830.0,1670.0,3
287,53565,0,1,0,0,1,WI,780.0,600.0,360.0,260.0,310.0,60.0,2
