zip,yelp_dollar_1,yelp_dollar_2,yelp_dollar_3,yelp_dollar_4,Total_Business,STATE,income_level_1,income_level_2,income_level_3,income_level_4,income_level_5,income_level_6,affluence,yelp_perc_1,yelp_perc_2,yelp_perc_3,yelp_perc_4,city
15636,1,2,1,0,4,PA,590.0,310.0,200.0,210.0,510.0,160.0,84027.77777777777,0.25,0.5,0.25,0.0,Harrison City
15637,1,1,1,0,3,PA,360.0,230.0,160.0,90.0,90.0,0.0,47849.4623655914,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,Herminie
15642,22,34,5,1,62,PA,7410.0,4750.0,3370.0,2750.0,4510.0,910.0,68607.59493670886,0.3548387096774194,0.5483870967741935,0.08064516129032258,0.016129032258064516,Irwin
15668,16,12,4,0,32,PA,2010.0,990.0,810.0,750.0,1700.0,760.0,88817.66381766382,0.5,0.375,0.125,0.0,Murrysville
16930,0,1,0,0,1,PA,200.0,130.0,110.0,70.0,80.0,0.0,54872.8813559322,0.0,1.0,0.0,0.0,Liberty
18447,2,0,0,0,2,PA,1960.0,1440.0,830.0,500.0,540.0,70.0,51053.37078651685,1.0,0.0,0.0,0.0,Scott Township
19355,4,6,2,0,12,PA,3260.0,1760.0,1360.0,1230.0,2760.0,2670.0,105895.32208588957,0.3333333333333333,0.5,0.16666666666666666,0.0,Frazer
19362,1,2,1,0,4,PA,840.0,680.0,420.0,270.0,360.0,70.0,59611.74242424241,0.25,0.5,0.25,0.0,Nottingham
19464,3,1,0,0,4,PA,8490.0,5530.0,3330.0,2230.0,3070.0,490.0,56168.971477960244,0.75,0.25,0.0,0.0,Stowe
23919,1,0,0,0,1,VA,390.0,270.0,170.0,110.0,130.0,30.0,56590.90909090909,1.0,0.0,0.0,0.0,Henderson
27560,0,1,0,0,1,NC,3150.0,2960.0,2460.0,2180.0,3460.0,1030.0,83423.55643044619,0.0,1.0,0.0,0.0,
28012,14,34,4,4,56,NC,3450.0,2540.0,1570.0,1030.0,1700.0,610.0,67350.91743119266,0.25,0.6071428571428571,0.07142857142857142,0.07142857142857142,Belmont
28016,1,0,0,0,1,NC,2400.0,1570.0,760.0,400.0,330.0,40.0,41977.27272727273,1.0,0.0,0.0,0.0,Gastonia
28025,18,44,15,5,82,NC,8730.0,6120.0,3200.0,2030.0,2380.0,610.0,53131.77286519289,0.2195121951219512,0.5365853658536586,0.18292682926829268,0.06097560975609756,Concord
28027,49,85,16,2,152,NC,10120.0,7110.0,4010.0,2940.0,4790.0,1420.0,64972.030273116165,0.3223684210526316,0.5592105263157895,0.10526315789473684,0.013157894736842105,Kannapolis
28031,43,72,12,3,130,NC,3760.0,2540.0,1920.0,1480.0,2710.0,1860.0,88524.87736510162,0.3307692307692308,0.5538461538461539,0.09230769230769233,0.02307692307692308,Cornelius
28032,2,3,0,1,6,NC,500.0,390.0,230.0,120.0,180.0,120.0,66720.77922077922,0.3333333333333333,0.5,0.0,0.16666666666666666,Cramerton
28034,1,7,1,0,9,NC,3130.0,2230.0,1170.0,670.0,620.0,60.0,46002.53807106599,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.0,Dallas
28036,10,17,2,3,32,NC,1930.0,1130.0,890.0,750.0,1890.0,1470.0,104063.27543424316,0.3125,0.53125,0.0625,0.09375,Davidson
28037,1,0,0,0,1,NC,2800.0,1800.0,1300.0,1120.0,2270.0,1110.0,86514.42307692308,1.0,0.0,0.0,0.0,Lowesville
28052,8,21,5,0,34,NC,7410.0,4050.0,1580.0,640.0,520.0,80.0,34821.42857142857,0.2352941176470588,0.6176470588235294,0.14705882352941174,0.0,Gastonia
28054,26,37,11,2,76,NC,7190.0,4860.0,2210.0,1140.0,1140.0,230.0,44036.97078115684,0.34210526315789475,0.4868421052631579,0.14473684210526316,0.02631578947368421,Gastonia
28056,21,36,4,2,63,NC,5050.0,3460.0,2140.0,1530.0,2260.0,560.0,62633.33333333334,0.3333333333333333,0.5714285714285714,0.06349206349206349,0.031746031746031744,Gastonia
28075,7,21,3,0,31,NC,2450.0,1430.0,1030.0,1010.0,2400.0,670.0,85038.93214682981,0.2258064516129032,0.6774193548387096,0.0967741935483871,0.0,Harrisburg
